city,locality,zone,latitude,longitude,price_per_sqft,monthly_rent,maintenance_cost,safety_score,crime_rate,pollution_index,noise_level,hospital_distance_km,school_distance_km,college_distance_km,metro_distance_km,bus_stop_distance_km,road_connectivity_score,green_space_score,shopping_mall_distance_km,internet_speed_mbps,water_availability_score,power_backup
Bengaluru,Indiranagar,North,24.5907,74.5612,6786,31434,5967,6.8,2.9,127,3.4,1.78,2.83,4.37,3.99,1.08,7.5,6.5,2.03,282,6.0,Yes
Bengaluru,BTM Layout,East,17.2182,74.3364,10014,31396,2259,7.6,2.6,208,5.7,4.94,3.36,4.22,5.36,0.63,7.9,8.2,3.9,280,7.3,Yes
Bengaluru,Indiranagar,North,23.3141,78.5753,5807,48512,2327,7.6,3.0,213,3.7,2.45,3.11,5.21,3.82,0.2,8.2,6.9,1.85,178,7.3,No
Bengaluru,Electronic City,South,23.6854,79.1057,5416,48021,1762,8.9,2.8,136,3.9,5.69,3.98,2.89,3.67,0.65,9.2,6.6,1.96,123,8.6,No
Bengaluru,Yelahanka,Central,19.6121,77.1349,10430,46746,2633,8.0,1.4,132,6.9,1.34,0.97,5.08,3.36,0.64,8.1,6.6,1.88,201,9.0,Yes
Bengaluru,Indiranagar,Central,24.739,78.5414,10073,32621,3904,7.8,3.0,187,7.4,4.69,2.43,1.64,3.51,1.28,7.8,5.4,2.56,101,7.9,No
Bengaluru,Indiranagar,Central,17.9541,72.848,10447,58306,3461,6.7,5.0,140,3.4,3.17,0.59,5.56,4.26,0.28,7.7,7.0,1.96,283,8.1,Yes
Bengaluru,Electronic City,South,24.1359,75.7323,15504,66944,5088,9.2,3.0,183,4.0,2.36,2.77,2.38,1.37,0.2,8.2,5.5,5.48,280,7.2,No
Bengaluru,Whitefield,East,23.4367,74.3282,6667,79953,3490,8.9,4.6,168,3.4,4.12,1.79,3.47,4.78,0.18,8.3,7.4,0.83,246,7.2,Yes
Bengaluru,Whitefield,South,15.8243,76.1095,11412,42050,3781,7.9,4.9,139,5.0,5.24,2.61,1.3,5.5,1.27,9.4,8.7,5.17,102,7.4,Yes
Bengaluru,Whitefield,West,27.1488,73.9512,4535,69173,3672,9.3,4.5,193,4.9,5.77,4.48,4.33,4.01,0.32,7.0,8.9,3.69,198,6.2,Yes
Bengaluru,Indiranagar,North,22.0884,76.5217,13201,38635,1965,9.4,1.4,167,3.3,0.87,3.92,3.42,5.19,0.9,8.0,4.7,0.95,228,8.0,No
Bengaluru,Yelahanka,East,16.0477,78.1431,8410,52814,4742,6.9,3.9,237,4.4,4.64,0.6,3.75,5.49,1.49,6.3,5.5,1.96,298,7.2,Yes
Bengaluru,Whitefield,East,17.3313,76.0302,13400,57651,5833,6.5,4.7,196,7.2,1.07,3.99,2.59,4.92,1.14,6.5,5.8,1.66,147,6.7,No
Bengaluru,Yelahanka,Central,20.5677,79.5806,5332,30097,4969,9.0,1.2,205,6.5,4.0,1.4,5.45,3.12,0.7,6.0,4.8,5.36,291,6.5,Yes
Bengaluru,Yelahanka,Central,21.5851,75.9664,5185,58404,4487,9.2,4.6,130,7.0,1.66,1.35,1.62,4.33,1.34,7.4,7.3,1.35,298,6.8,Yes
Bengaluru,Whitefield,West,13.1941,78.2979,9942,71964,3532,7.3,4.5,147,4.7,0.71,2.28,2.2,5.07,0.59,8.9,8.4,1.73,228,6.7,Yes
Bengaluru,Yelahanka,North,28.1735,74.8213,15010,84768,4774,8.5,4.8,204,7.2,1.13,4.38,2.07,5.3,0.47,6.4,6.5,4.51,140,7.5,No
Bengaluru,Indiranagar,West,27.1021,74.1446,5227,75154,1513,8.1,4.6,170,4.6,0.88,3.09,2.98,1.86,1.29,8.5,5.9,2.2,164,7.1,No
Bengaluru,Yelahanka,Central,14.8239,75.8954,10711,40810,6162,7.4,3.5,120,4.4,1.66,3.6,4.64,1.91,0.72,8.4,6.8,4.87,263,8.6,No
Bengaluru,Indiranagar,East,20.9957,77.5104,9991,30240,3424,8.5,2.0,170,3.7,0.75,4.43,4.67,4.27,0.74,9.1,7.1,4.45,158,7.7,Yes
Bengaluru,Whitefield,North,26.9933,79.2393,6246,73724,3292,7.0,5.3,252,5.1,3.57,4.15,1.73,0.91,0.75,7.9,7.0,2.25,253,9.1,No
Bengaluru,Electronic City,West,26.006,76.8638,7107,80216,5186,7.3,2.1,190,6.4,3.37,2.93,2.65,0.61,0.5,7.0,5.9,3.47,95,6.5,Yes
Bengaluru,Whitefield,South,13.8212,75.7978,13390,79069,4906,6.7,4.7,219,7.1,3.71,3.22,6.14,4.26,0.63,6.0,6.1,4.64,278,9.1,Yes
Bengaluru,Electronic City,Central,25.5179,79.5234,12499,46760,3735,7.8,1.1,206,6.0,4.89,3.34,6.04,5.07,1.47,7.9,8.6,3.76,229,6.1,No
Bengaluru,BTM Layout,South,26.5829,74.0811,8762,67689,4181,7.1,2.5,217,4.3,5.73,2.07,6.01,2.69,1.15,6.2,8.8,1.73,77,8.7,No
Bengaluru,Indiranagar,North,27.8988,74.2151,4833,37973,3454,6.9,4.0,175,5.1,1.91,1.85,4.64,5.31,1.11,8.7,5.2,2.21,208,6.1,Yes
Bengaluru,Electronic City,West,19.1068,78.1341,5745,49830,2334,8.6,2.4,150,6.6,3.61,0.47,4.2,3.71,0.2,8.3,4.6,2.81,185,6.4,Yes
Bengaluru,BTM Layout,South,19.7242,78.2768,15157,53400,5908,8.8,3.1,188,4.5,1.85,4.23,2.67,2.59,1.15,8.0,7.5,2.35,186,9.0,Yes
Bengaluru,BTM Layout,South,18.4417,74.6635,9081,54211,6053,6.5,5.3,141,4.1,2.74,2.63,2.44,2.72,1.1,7.6,4.6,2.12,163,8.4,Yes
Bengaluru,Electronic City,East,20.3248,76.735,11471,61357,4382,8.6,2.2,184,4.0,4.47,1.63,5.46,5.24,1.07,6.7,7.8,2.02,210,9.4,No
Bengaluru,Electronic City,East,28.3901,79.028,9353,47816,4456,7.0,1.1,256,3.6,0.75,0.53,2.75,5.2,0.99,8.6,5.0,0.57,132,7.6,Yes
Bengaluru,Yelahanka,South,28.1514,74.6188,12327,32953,2035,7.7,1.3,133,3.7,4.96,4.29,1.51,1.52,0.88,7.5,7.2,3.9,258,7.8,Yes
Bengaluru,BTM Layout,East,26.4766,80.2242,9503,25894,6494,9.4,1.4,173,5.8,1.96,0.64,2.44,3.13,0.32,7.4,7.6,3.08,68,6.8,No
Bengaluru,Yelahanka,West,13.9318,74.474,8834,43928,4982,6.8,2.0,158,7.1,5.05,0.6,2.0,1.83,1.15,8.0,5.8,1.18,236,7.1,Yes
Bengaluru,Yelahanka,Central,21.3857,76.027,14298,23224,5039,8.7,3.7,126,3.4,5.79,3.81,4.45,5.24,1.5,8.4,5.7,0.72,253,6.6,No
Bengaluru,BTM Layout,East,15.6857,77.1485,14900,82451,2247,7.9,2.8,202,6.0,5.22,1.69,5.16,1.73,1.42,8.8,7.0,3.0,140,6.9,Yes
Bengaluru,BTM Layout,Central,25.9163,72.7087,13389,78552,4885,6.7,3.3,247,5.8,4.68,1.15,4.3,5.12,0.71,8.4,5.0,5.85,215,8.8,No
Bengaluru,Whitefield,East,21.5583,76.8971,6027,47451,2429,7.9,1.5,159,5.2,4.44,2.44,2.64,4.62,1.47,6.9,7.0,2.61,295,8.1,No
Bengaluru,Whitefield,North,17.1923,78.704,11298,62548,5659,7.3,1.0,196,6.8,3.69,3.07,6.19,2.57,0.78,7.2,7.9,2.57,298,7.1,Yes
Bengaluru,Whitefield,Central,18.8892,79.2057,11230,23720,4106,8.7,4.2,217,4.7,4.15,3.75,6.88,2.83,0.15,7.8,7.2,5.28,283,9.0,Yes
Bengaluru,Electronic City,West,13.044,73.7956,15227,38232,2112,7.9,5.4,206,5.8,2.69,0.64,2.97,3.77,0.85,9.3,7.3,5.38,184,9.1,Yes
Bengaluru,Electronic City,North,16.5328,77.9014,9208,47817,2240,7.8,1.4,145,5.0,4.32,4.09,1.28,4.42,0.51,7.3,5.2,3.42,204,8.4,Yes
Bengaluru,Whitefield,South,14.0556,79.3184,14653,49566,5576,9.2,1.6,238,5.9,3.03,3.1,6.39,2.67,0.5,7.9,4.8,5.7,210,7.0,Yes
Bengaluru,Yelahanka,West,26.2403,74.214,10802,81335,2373,7.2,3.6,195,7.5,2.12,4.41,4.95,1.65,0.89,8.4,7.9,0.77,215,8.6,Yes
Bengaluru,Whitefield,Central,25.5507,74.3644,7615,50850,2620,8.4,5.1,130,4.4,2.92,2.73,5.39,0.68,0.51,8.6,5.3,1.23,198,9.1,Yes
Bengaluru,Electronic City,Central,27.3244,79.0116,8710,81156,3917,8.7,2.5,149,5.1,0.91,3.47,2.35,3.78,1.04,7.4,8.3,3.57,83,8.8,Yes
Bengaluru,Yelahanka,Central,14.7651,75.5013,15515,52362,6288,7.6,3.9,215,3.5,1.79,0.41,6.31,3.18,1.38,6.8,4.8,5.03,292,8.5,No
Bengaluru,BTM Layout,North,15.0225,79.8916,9486,82569,2451,6.8,5.0,154,4.7,2.54,4.29,5.18,3.06,0.92,8.5,8.5,4.1,273,7.7,Yes
Bengaluru,Yelahanka,North,23.7755,74.3512,11785,48947,4471,6.8,4.1,259,7.1,4.05,0.55,2.66,5.33,1.43,8.9,4.9,1.67,223,8.1,Yes
Bengaluru,Indiranagar,East,16.6727,73.657,13750,44896,2062,9.0,3.5,175,6.7,1.78,3.55,5.73,3.36,0.49,9.4,8.9,3.47,264,6.6,No
Bengaluru,Indiranagar,South,13.0363,78.7039,8398,60437,1629,7.0,1.2,227,5.4,4.6,2.3,5.67,2.92,0.25,7.8,8.8,0.74,260,9.2,No
Bengaluru,Electronic City,East,20.0829,80.0266,5496,80781,4790,7.8,1.5,233,3.3,0.94,2.85,1.39,1.66,0.99,7.9,6.0,5.97,195,7.0,No
Bengaluru,Electronic City,West,14.3769,78.0335,15226,46183,5023,7.9,2.0,206,6.7,2.69,3.36,2.88,1.86,0.46,9.3,7.6,3.11,83,8.9,Yes
Bengaluru,BTM Layout,North,24.639,75.5321,6631,25861,6304,9.4,3.5,151,4.8,5.3,4.25,3.54,5.05,0.17,7.0,5.9,1.07,189,6.7,No
Bengaluru,BTM Layout,South,26.2717,75.3609,13613,66176,2441,8.8,3.6,229,6.8,5.86,3.74,4.68,3.61,0.14,9.3,8.2,1.97,106,7.0,Yes
Bengaluru,Yelahanka,East,12.8971,79.311,13778,70531,2070,6.9,3.8,127,3.4,3.42,1.88,3.72,1.03,0.54,7.1,8.7,3.78,286,6.2,Yes
Bengaluru,Electronic City,North,23.5161,74.768,15345,73576,5478,8.3,2.9,175,6.4,1.13,2.11,2.7,3.8,0.78,8.3,4.7,2.67,213,6.2,Yes
Bengaluru,Yelahanka,South,25.0009,78.5076,9242,61007,2482,6.5,4.4,164,3.6,3.43,1.27,4.35,3.74,0.6,7.4,7.8,2.9,177,9.2,Yes
Bengaluru,Electronic City,West,21.9171,78.0922,11343,55947,2443,7.7,5.3,163,6.6,3.9,3.79,6.52,0.67,1.28,6.9,7.1,3.38,161,9.0,No
Bengaluru,Yelahanka,South,18.0958,73.9778,12863,32945,5846,8.0,5.1,209,4.6,5.77,3.01,1.89,0.74,0.46,6.6,5.2,4.68,79,6.6,No
Bengaluru,BTM Layout,West,24.7957,78.4751,11854,60363,4089,7.0,1.3,233,5.8,4.88,2.78,3.11,0.59,0.75,6.1,6.2,2.08,225,9.0,Yes
Bengaluru,Electronic City,Central,20.8624,76.2166,13581,23376,5184,9.2,3.6,168,4.4,3.12,0.93,1.37,0.75,1.36,7.2,7.7,3.28,104,6.1,No
Bengaluru,BTM Layout,West,21.1327,77.3345,10462,66870,3817,7.7,4.5,133,6.6,4.06,0.58,1.57,3.8,0.5,8.5,7.5,5.48,283,6.5,Yes
Bengaluru,Electronic City,South,27.3763,75.0578,15248,69374,2556,8.3,5.2,199,5.5,4.04,1.68,1.77,3.93,1.43,9.5,8.6,1.01,231,7.5,Yes
Bengaluru,Indiranagar,East,17.711,79.9289,10098,81736,3072,7.2,1.6,139,4.3,4.83,2.43,4.24,4.11,0.84,8.3,8.4,3.9,212,7.3,Yes
Bengaluru,Whitefield,Central,25.6638,73.9581,11670,23726,4865,7.6,4.2,233,5.7,4.64,3.59,2.4,1.47,1.45,8.7,8.6,1.57,233,9.3,Yes
Bengaluru,BTM Layout,East,25.1722,76.5221,11359,39241,3135,8.9,1.6,184,3.2,3.14,1.86,6.61,3.97,0.82,6.4,4.9,1.38,175,9.2,Yes
Bengaluru,BTM Layout,North,27.848,74.3875,11891,63820,1718,7.7,2.8,215,4.1,5.97,1.87,1.17,5.13,1.27,8.3,8.1,1.26,133,9.2,Yes
Bengaluru,Whitefield,West,19.9328,72.7399,5798,20490,3596,7.1,1.7,255,4.9,4.77,1.3,1.73,1.46,0.99,8.2,4.8,5.1,187,8.1,Yes
Bengaluru,Electronic City,Central,16.6468,73.7912,11532,18205,4390,7.2,2.9,141,5.4,2.48,4.3,4.26,4.37,0.81,6.1,8.4,0.74,159,9.4,Yes
Bengaluru,Indiranagar,East,25.3375,75.3205,15265,31587,6266,8.7,2.5,131,4.6,2.36,3.0,5.98,3.83,1.47,7.7,5.3,1.24,243,8.7,Yes
Bengaluru,Indiranagar,East,16.0053,78.7124,5186,59365,4040,8.0,5.5,259,5.1,0.7,3.02,2.72,4.77,0.17,8.3,5.7,4.9,171,9.1,No
Bengaluru,BTM Layout,West,18.1907,74.1198,15838,83211,4509,9.3,3.3,141,6.3,0.93,2.83,5.93,3.09,0.55,6.3,7.5,2.19,214,8.5,Yes
Bengaluru,BTM Layout,East,19.9094,78.2238,10276,75008,3749,8.4,4.6,134,3.3,4.01,1.83,5.81,3.8,1.43,6.5,7.2,4.8,68,6.4,Yes
